,Item,Agreement Percentage,Sum difference
42,other-special-issues_substance-use,1.0,0.0
38,other-special-issues_physically-harms-self,0.9365079365079365,16.0
44,other-special-issues_trauma-history,0.9206349206349206,20.0
58,toileting,0.9047619047619048,24.0
39,other-special-issues_physically-or-emotionally-harms-others,0.9047619047619048,24.0
57,somatic-and-sensory-functions_sexual-identity-behavior,0.8888888888888888,11.0
40,other-special-issues_self-care-hygiene,0.8888888888888888,28.0
43,other-special-issues_tics-and-other-atypical-movements,0.8888888888888888,28.0
36,other-special-issues_bullying,0.8412698412698413,40.0
17,communication_receptive-language,0.7936507936507936,20.0
34,learning-and-acquisition-of-knowledge-and-skills_reading,0.7777777777777778,15.0
55,somatic-and-sensory-functions_eating,0.7777777777777778,23.0
9,cognition_abstract-thinking,0.746031746031746,19.0
54,social-function_tolerance,0.746031746031746,22.0
22,daily-routines_transitions,0.746031746031746,24.0
18,communication_speech-quality,0.7301587301587301,19.0
21,daily-routines_screen-time,0.7301587301587301,22.0
41,other-special-issues_sleep,0.7301587301587301,68.0
56,somatic-and-sensory-functions_sensory-reactivity,0.7301587301587301,22.0
33,learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,0.7142857142857143,20.0
37,other-special-issues_perception-of-reality,0.6984126984126984,76.0
47,personality_integrity-and-honesty,0.6825396825396826,29.0
32,learning-and-acquisition-of-knowledge-and-skills_learning-strategies,0.6825396825396826,26.0
31,learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,0.6666666666666666,31.0
16,communication_expressive-language,0.6666666666666666,37.0
30,learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,0.6507936507936508,37.0
28,emotion_worries-anxiety,0.6507936507936508,26.0
45,personality_creativity,0.6507936507936508,27.0
6,behavior_play,0.6507936507936508,36.0
20,daily-routines_morning-routine,0.6507936507936508,27.0
4,behavior_habits-routines,0.6349206349206349,31.0
11,cognition_memory-recall,0.6349206349206349,31.0
7,behavior_risk-taking,0.6349206349206349,27.0
35,learning-and-acquisition-of-knowledge-and-skills_writing,0.6349206349206349,29.0
48,personality_perseverance,0.6349206349206349,34.0
0,behavior_activity-level,0.6190476190476191,29.0
19,communication_speech-quantity,0.6190476190476191,26.0
10,cognition_attention-concentration,0.5873015873015873,35.0
23,emotion_attachment,0.5873015873015873,36.0
5,behavior_obsessive-thoughts,0.5714285714285714,35.0
52,social-function_social-cooperation,0.5714285714285714,32.0
15,cognition_thinking-speed,0.5714285714285714,36.0
14,cognition_task-completion,0.5714285714285714,32.0
49,personality_responsibility-for-self-and-others,0.5714285714285714,35.0
1,behavior_anger-management,0.5555555555555556,31.0
53,social-function_social-engagement,0.5555555555555556,41.0
51,social-function_social-communication,0.5555555555555556,41.0
29,learning-and-acquisition-of-knowledge-and-skills_academic-motivation,0.5555555555555556,32.0
46,personality_future-outlook,0.5396825396825397,35.0
25,emotion_empathy,0.5396825396825397,33.0
12,cognition_planning-and-organization,0.5396825396825397,43.0
27,emotion_stress-management,0.5079365079365079,35.0
3,behavior_compliance,0.5079365079365079,45.0
24,emotion_emotional-regulation-and-reactivity,0.49206349206349204,52.0
50,personality_self-confidence,0.42857142857142855,52.0
8,behavior_self-control,0.3968253968253968,52.0
26,emotion_irritability,0.3968253968253968,51.0
13,cognition_self-image,0.36507936507936506,52.0
2,behavior_assertiveness,0.3333333333333333,55.0
